EVENTDAYWELLNAME,start_time,end_time,EVENTNAME,EVENTDAYDOWNTIME,EVENTDAYLOSSGAS,EVENTDAYLOSSOIL,EVENTDAYLOSSCONDENSATEFORMATION,GAS RATE,OIL RATE,CONDENSATE RATE,SIBU/NonSIBU,ROOTCAUSEDESCRIPTION
PK-A10:S1,4/2/2004 14:30,4/2/2004 15:10,NULL,0.666666667,0,0,0,0,0,0,NonSIBU,Choke-in the well during pigging operation on trunk line A
PK-A1:S1,4/2/2004 14:30,4/2/2004 15:29,NULL,0.983333333,0,0,0,0,0,0,NonSIBU,Choke-in the well during pigging operation on trunk line A
PK-A11-ST1:S1,4/2/2004 14:37,4/2/2004 15:15,NULL,0.633333333,0,0,0,0,0,0,NonSIBU,Shut in the well during pigging operation on trunk line A
PK-A10:S1,4/30/2004 8:40,4/30/2004 9:40,NULL,1,0,0,0,0,0,0,NonSIBU,Well not shut-in and only adjusted choke
PK-A11-ST1:S1,5/2/2004 13:19,5/2/2004 14:30,NULL,1.183333333,0,0,0,0,0,0,NonSIBU,MWP A shut down ESD 1.1 by PAL-10501 (fusible loop system).
PK-A1:S1,5/2/2004 13:19,5/2/2004 14:30,NULL,1.183333333,0,0,0,0,0,0,NonSIBU,MWP A shut down ESD 1.1 by PAL-10501 (fusible loop system).
PK-A10:S1,5/2/2004 13:19,5/2/2004 14:30,NULL,1.183333333,0,0,0,0,0,0,NonSIBU,MWP A shut down ESD 1.1 by PAL-10501 (fusible loop system).
PK-A1:S1,5/10/2004 5:00,5/10/2004 8:08,NULL,3.133333333,0,0,0,0,0,0,NonSIBU,Choked Bontang
PK-A11-ST1:S1,5/10/2004 5:00,5/10/2004 6:50,NULL,1.833333333,0,0,0,0,0,0,NonSIBU,Choked Bontang
PK-A10:S1,5/10/2004 5:00,5/10/2004 6:30,NULL,1.5,0,0,0,0,0,0,NonSIBU,Choked Bontang
PK-A10:S1,5/11/2004 17:04,5/11/2004 23:59,NULL,6.916666667,0,0,0,0,0,0,NonSIBU,The well shut down due to MWP A ESD 2.13C by PALL-10062 (Interconnection trunk line A-G on MWP A).
PK-A11-ST1:S1,5/11/2004 17:04,5/11/2004 23:59,NULL,6.916666667,0,0,0,0,0,0,NonSIBU,The well shut down due to MWP A ESD 2.13C by PALL-10062 (Interconnection trunk line A-G on MWP A).
PK-A1:S1,5/11/2004 17:04,5/12/2004 0:00,NULL,6.933333333,0,0,0,0,0,0,NonSIBU,The well shut down due to MWP A ESD 2.13C by PALL-10062 (Interconnection trunk line A-G on MWP A).
PK-A10:S1,5/11/2004 23:59,5/12/2004 0:00,NULL,0.016666667,0,0,0,0,0,0,NonSIBU,Shut in the well for DD project activities on onshore.
PK-A11-ST1:S1,5/11/2004 23:59,5/12/2004 0:00,NULL,0.016666667,0,0,0,0,0,0,NonSIBU,Shut in the well for DD project activities on onshore.
PK-A10:S1,5/12/2004 0:00,5/13/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,Shut in the well for DD project activities on onshore.
PK-A11-ST1:S1,5/12/2004 0:00,5/13/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,Shut in the well for DD project activities on onshore.
PK-A1:S1,5/12/2004 0:00,5/13/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,The well shut down due to MWP A ESD 2.13C by PALL-10062 (Interconnection trunk line A-G on MWP A).
PK-A1:S1,5/13/2004 0:00,5/13/2004 23:59,NULL,23.98333333,0,0,0,0,0,0,NonSIBU,SI for DD project 
PK-A11-ST1:S1,5/13/2004 0:00,5/13/2004 23:59,NULL,23.98333333,0,0,0,0,0,0,NonSIBU,SI for DD project 
PK-A10:S1,5/13/2004 0:00,5/13/2004 23:59,NULL,23.98333333,0,0,0,0,0,0,NonSIBU,SI for DD project 
PK-A10:S1,5/13/2004 23:59,5/14/2004 0:00,NULL,0.016666667,0,0,0,0,0,0,NonSIBU,SI for DD project 
PK-A11-ST1:S1,5/13/2004 23:59,5/14/2004 0:00,NULL,0.016666667,0,0,0,0,0,0,NonSIBU,SI for DD project 
PK-A1:S1,5/13/2004 23:59,5/14/2004 0:00,NULL,0.016666667,0,0,0,0,0,0,NonSIBU,SI for DD project 
PK-A10:S1,5/14/2004 0:00,5/15/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for DD project 
PK-A1:S1,5/14/2004 0:00,5/15/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for DD project 
PK-A11-ST1:S1,5/14/2004 0:00,5/15/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for DD project 
PK-A10:S1,5/15/2004 0:00,5/16/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for DD project
PK-A11-ST1:S1,5/15/2004 0:00,5/16/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for DD project
PK-A1:S1,5/15/2004 0:00,5/16/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for DD project
PK-A11-ST1:S1,5/16/2004 0:00,5/17/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for DD project
PK-A1:S1,5/16/2004 0:00,5/17/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for DD project
PK-A10:S1,5/16/2004 0:00,5/17/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for DD project
PK-A10:S1,5/17/2004 0:00,5/18/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A1:S1,5/17/2004 0:00,5/18/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A11-ST1:S1,5/17/2004 0:00,5/18/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A10:S1,5/18/2004 0:00,5/19/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A1:S1,5/18/2004 0:00,5/19/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A11-ST1:S1,5/18/2004 0:00,5/19/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A10:S1,5/19/2004 0:00,5/20/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A1:S1,5/19/2004 0:00,5/20/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A11-ST1:S1,5/19/2004 0:00,5/20/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A10:S1,5/20/2004 0:00,5/21/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A10:S1,5/21/2004 0:00,5/22/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A10:S1,5/22/2004 0:00,5/23/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
PK-A10:S1,5/23/2004 0:00,5/24/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,S/I for DD project
